Timestamp,Pressure
1685993375.891801,197352515.99788833
1685993375.891914,197352515.99788833
1685993375.8920078,197352515.99788833
1685993375.892096,197352515.99788833
1685993375.892182,197352515.99788833
1685993375.892268,197352515.99788833
1685993375.9930801,197352515.99788833
1685993376.091539,197352515.99788833
1685993376.193763,197352515.99788833
1685993376.29213,197352515.99788833
1685993376.394519,197352515.99788833
1685993376.492863,9500458.328270437
1685993376.595347,657841.7199929612
1685993376.6936011,326620.71412237926
1685993376.795944,233997.39033306684
1685993376.898331,214418.47636134218
1685993376.996706,199960.69902869742
1685993377.098948,195183.80703087864
1685993377.197289,190427.86631375208
1685993377.299652,190427.86631375208
1685993377.397929,185692.7393415578
1685993377.500422,180978.2897797229
1685993377.598799,180978.2897797229
1685993377.7009852,185692.7393415578
1685993377.799411,185692.7393415578
1685993377.901809,233997.39033306684
1685993378.000193,427357.029776449
1685993378.102495,821836.2564218015
1685993378.2048252,197352515.99788833
1685993378.303231,197352515.99788833
1685993378.405482,197352515.99788833
1685993378.503833,197352515.99788833
1685993378.606297,197352515.99788833
1685993378.704671,197352515.99788833
1685993378.806894,197352515.99788833
1685993378.905171,197352515.99788833
1685993379.0076668,197352515.99788833
1685993379.106001,197352515.99788833
1685993379.208283,197352515.99788833
1685993379.30674,197352515.99788833
1685993379.409007,197352515.99788833
1685993379.5113149,197352515.99788833
1685993379.609664,197352515.99788833
1685993379.7120042,197352515.99788833
1685993379.8103821,197352515.99788833
1685993379.912704,197352515.99788833
1685993380.01108,197352515.99788833
1685993380.113396,197352515.99788833
1685993380.211742,197352515.99788833
1685993380.3141341,197352515.99788833
1685993380.412419,197352515.99788833
1685993380.51491,3865306.6742781685
1685993380.613135,10517140.40950772
1685993380.7170901,80256689.83914125
1685993380.81793,68509516.26783837
1685993380.916246,42879319.38499574
1685993381.0186281,39141582.339581184
1685993381.116909,37496978.039598785
1685993381.219331,35978881.76269195
1685993381.317643,33267995.553929742
1685993381.419998,33267995.553929742
1685993381.5182898,32052770.701726004
1685993381.620689,32052770.701726004
1685993381.7189848,29857525.807422463
1685993381.821393,28862805.46469117
1685993381.923769,29857525.807422463
1685993382.022052,27928371.203337524
1685993382.124449,27048903.663239993
1685993382.222788,26219691.411148023
1685993382.32516,26219691.411148023
1685993382.423491,25436546.506394494
1685993382.525907,25436546.506394494
1685993382.624341,24695733.758654676
1685993382.726515,24695733.758654676
1685993382.824995,24695733.758654676
1685993382.927383,24695733.758654676
1685993383.0296772,24695733.758654676
1685993383.128101,23328079.455135006
1685993383.2304661,23993911.15553274
1685993383.3286889,23328079.455135006
1685993383.431038,22695539.339757156
1685993383.529342,22695539.339757156
1685993383.6317272,22695539.339757156
1685993383.730001,22695539.339757156
1685993383.8324962,22093854.839763597
1685993383.93078,22695539.339757156
1685993384.03309,22093854.839763597
1685993384.1315699,22093854.839763597
1685993384.233828,21520821.98262687
1685993384.336185,21520821.98262687
1685993384.434583,22093854.839763597
1685993384.5368938,21520821.98262687
1685993384.635185,21520821.98262687
1685993384.737571,21520821.98262687
1685993384.8359108,21520821.98262687
1685993384.938228,21520821.98262687
1685993385.036555,20974441.81651976
1685993385.138987,20974441.81651976
1685993385.23728,20452897.112508427
1685993385.33962,20974441.81651976
1685993385.442009,20452897.112508427
1685993385.540375,20452897.112508427
1685993385.642685,20452897.112508427
1685993385.741034,20452897.112508427
1685993385.8433769,20452897.112508427
1685993385.941702,20452897.112508427
1685993386.044137,20452897.112508427
1685993386.142435,20452897.112508427
1685993386.24497,20452897.112508427
1685993386.347602,20452897.112508427
1685993386.445513,20452897.112508427
